time,X,Y,Z
1662736918635,-235,23,-69
1662736918636,-236,22,-70
1662736918636,-236,23,-70
1662736918636,-236,23,-70
1662736918637,-235,22,-69
1662736918637,-237,23,-71
1662736918638,-236,22,-71
1662736918638,-234,24,-70
1662736918639,-235,23,-70
1662736918639,-235,22,-71
1662736918640,-236,23,-70
1662736918641,-236,23,-71
1662736918641,-235,23,-71
1662736918641,-236,23,-70
1662736918642,-236,22,-69
1662736918643,-236,23,-71
1662736918643,-235,23,-72
1662736918643,-235,24,-72
1662736918644,-235,23,-71
1662736918644,-235,22,-71
1662736918645,-235,23,-70
1662736918645,-236,23,-71
1662736918646,-234,24,-71
1662736918646,-236,24,-70
1662736918647,-235,23,-70
1662736918647,-235,24,-71
1662736918648,-236,23,-70
1662736918648,-234,24,-71
1662736918649,-236,24,-71
1662736918649,-236,24,-71
1662736918650,-234,25,-69
1662736918650,-235,24,-70
1662736918651,-235,26,-71
1662736918651,-236,25,-71
1662736918652,-235,25,-71
1662736918653,-236,26,-70
1662736918653,-235,25,-70
1662736918653,-235,25,-70
1662736918654,-236,27,-70
1662736918654,-235,25,-71
1662736918655,-235,26,-71
1662736918655,-235,26,-71
1662736918656,-236,25,-71
1662736918656,-236,26,-71
1662736918657,-234,26,-70
1662736918657,-235,27,-71
1662736918658,-234,26,-71
1662736918658,-236,26,-71
1662736918659,-235,25,-71
1662736918659,-235,26,-71
1662736918660,-236,26,-70
1662736918660,-236,27,-72
1662736918661,-236,27,-71
1662736918661,-235,28,-71
1662736918662,-236,27,-71
1662736918663,-234,26,-71
1662736918663,-236,26,-71
1662736918663,-234,26,-71
1662736918664,-236,27,-70
1662736918664,-234,27,-71
1662736918665,-235,27,-69
1662736918665,-235,27,-69
1662736918666,-236,26,-71
1662736918666,-235,28,-69
1662736918667,-235,28,-69
1662736918667,-235,26,-70
1662736918668,-236,26,-70
1662736918668,-234,26,-69
1662736918669,-235,28,-69
1662736918669,-235,27,-69
1662736918670,-235,28,-69
1662736918670,-235,27,-68
1662736918671,-235,27,-70
1662736918671,-235,27,-69
1662736918672,-235,26,-68
1662736918673,-237,26,-69
1662736918673,-234,27,-68
1662736918673,-235,27,-69
1662736918674,-235,28,-69
1662736918674,-235,27,-68
1662736918675,-235,26,-68
1662736918675,-235,27,-69
1662736918676,-235,27,-68
1662736918676,-236,26,-68
1662736918677,-235,26,-68
1662736918677,-236,25,-69
1662736918678,-235,25,-69
1662736918678,-236,26,-68
1662736918679,-236,26,-69
1662736918679,-236,25,-70
1662736918680,-235,26,-69
1662736918680,-235,24,-69
1662736918681,-237,24,-68
1662736918681,-235,24,-70
1662736918682,-235,24,-69
1662736918683,-237,24,-69
1662736918683,-235,25,-69
1662736918683,-236,25,-70
1662736918684,-235,26,-69
1662736918684,-235,25,-70
1662736918685,-237,25,-69
1662736918685,-236,24,-69
1662736918686,-236,25,-70
1662736918686,-235,24,-70
1662736918687,-236,25,-70
1662736918687,-236,25,-69
1662736918688,-236,26,-69
1662736918688,-237,26,-69
1662736918689,-235,26,-70
1662736918689,-237,25,-69
1662736918690,-236,25,-69
1662736918690,-236,26,-69
1662736918691,-236,26,-70
1662736918691,-235,26,-69
1662736918692,-234,26,-69
1662736918693,-235,25,-69
1662736918693,-234,25,-69
1662736918693,-235,25,-70
1662736918694,-235,26,-69
1662736918694,-236,25,-68
1662736918695,-235,25,-69
1662736918695,-234,25,-69
1662736918696,-234,24,-69
1662736918696,-235,26,-69
1662736918697,-233,24,-69
